type,latitude,longitude,color,opacity,width,name,desc,kml_folder
T,33.623708623,72.959364759,#ff55ff,1.00,5.1,Untitled Path,,circular_but_not.kmz
T,33.623212035,72.959141861,,,,,,
T,33.622550742,72.958931118,,,,,,
T,33.621971392,72.958780326,,,,,,
T,33.621682971,72.958753648,,,,,,
T,33.621450087,72.958808507,,,,,,
T,33.621194891,72.958914259,,,,,,
T,33.621004387,72.959055891,,,,,,
T,33.620872932,72.959236917,,,,,,
T,33.620769968,72.959439562,,,,,,
T,33.620693514,72.959648045,,,,,,
T,33.620670131,72.959815766,,,,,,
T,33.620631671,72.960106039,,,,,,
T,33.620659514,72.960334324,,,,,,
T,33.620694379,72.960494156,,,,,,
T,33.620782800,72.960659946,,,,,,
